Title,Director(s),Year,Country
Three Monks,A Da,1982,India
"Force of One, A",Aaron,1979,USA
Dharti Ke Lal,Abbas,1946,India
Two Drops of Water,Abbas,1971,India
Damn Yankees,George,1958,USA
"Pajama Game, The",Abbott,1957,USA
"Corporation, The",Jennifer,2003,Canada
Okhota na lis,Vadim,1980,USSR
"Train Has Stopped, The",Vadim,1982,USSR
Parad planet,Vadim,1984,USSR
Time of a Dancer,Vadim,1998,Russia
"Iceberg, L'",Abel,2005,Belgium
Bidaya wa nihaya,Salah,1961,Egypt
"Water Carrier Has Died, The",Salah,1981,Egypt
State of the World,Abraham,2007,Portugal
Agraharathil Kazhuthai,Abraham,1977,India
Amma Ariyan,Abraham,1986,India
Airplane!,David ,1980,USA
Top Secret!,David,1984,USA
Ruthless People, Jim,1986,USA
Adam & Paul,Lenny,2004,Ireland
Garage,Lenny,2007,Ireland
Star Trek,Abrams,2009,Germany-USA
Super 8,Abrams,2011,USA
Rana's Wedding,Hany,2002,Palestine
Ford Transit,Hany,2003,Palestine-Israel
Paradise Now,Hany,2005,Netherlands
Vedreba,Tengiz,1967,USSR-Georgia
Repentance,Tengiz,1984,Russia
Tashan,Acharya,2008,India
Noam Chomsky and the Media,Achbar,1992,USA
"Last Hole, The",Herbert,1981,West Germany
"Raft of the Medusa, The",Karpo,1980,Yugoslavia
Red Boogie,Karpo,1982,Yugoslavia
A.K.A. Serial Killer,Masao,1969,Japan
Red Army: Declaration of World War,Masao,1971,Japan
Prisoner/Terrorist,Masao,2007,Japan
Word is Out,Andrew ,1977,USA
"The Lion, the Witch, The",Adamson,2005,USA
Shrek,Adamson,2001,USA
Shrek 2,Adamson,2004,USA
"Forest for the Trees, The",Maren,2003,Germany
Everyone Else,Maren,2009,Germany
Under the Skin [1997],Adler,1997,UK
Bordello of Blood,Adler,1996,USA
Up in Smoke, Lou,1978,USA
Ladies and Gentlemen,Lou,1981,USA
Bagdad Cafe,Percy,1988,West Germany
Filmblok (0/1/2),Adrian,1957,France
Kol Ho Naa Ho,Advani,2003,India
Gone Baby Gone, Ben,2007,USA
"Town, The",Ben,2010,USA
Argo,Ben,2012,USA
